complements_1:validate-2026-09-24T14:46:54+00:00 | BATCH complements_1 (hash e29e367cba78c47f) | validate ('2020-01-01', '2023-12-31') | purged before 2024-01-01 | batch N = 3864 (hypotheses ever tested: 5418)
CANDIDATE GENERATION, NOT CONFIRMATION: these slices were already looked at by the registered run; a survivor is at best a paper-trading candidate
hit = GROSS return > 0 (fee out of scope); net at the provisional cost is information only | NET PROVISIONAL; liquid on t; two-sided; date-block bootstrap (10 sessions x 2000)
run here: 269 | testable (>= 30 de-clustered): 268 | suspicious: 0
discover survivors run: 269 | HELD (same sign, gross exp > 0): 188 | PAPER-TRADING CANDIDATES (held, edge > 0): 151
  [N=3864] k5:evening_star+breadth_positive+not_ma_50_rising: 108 de-cl. (n 109) hit 66.7% vs base 52.3% edge +14.3% gross +3.20% (net +2.78% info) p 0.0370 | discover -19.6% -> failed | walk-forward 5/12 years positive
  [N=3864] k3:evening_star+breadth_positive+not_ma_50_rising: 110 de-cl. (n 110) hit 65.5% vs base 51.3% edge +14.1% gross +2.52% (net +2.11% info) p 0.0610 | discover -23.7% -> failed | walk-forward 5/12 years positive
  [N=3864] k3:evening_star+breadth_positive+not_above_ma_50: 69 de-cl. (n 69) hit 63.8% vs base 51.2% edge +12.6% gross +2.03% (net +1.62% info) p 0.0720 | discover -19.9% -> failed | walk-forward 5/12 years positive
  [N=3864] k5:inverted_hammer_shape+ma_50_rising+not_market_up: 1077 de-cl. (n 1298) hit 61.9% vs base 51.5% edge +10.5% gross +2.19% (net +1.78% info) p 0.0140 | discover +7.2% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:three_black_crows+breadth_positive+not_market_up: 71 de-cl. (n 79) hit 60.6% vs base 51.0% edge +9.6% gross +0.74% (net +0.34% info) p 0.2469 | discover +19.8% -> HELD | walk-forward 9/12 years positive
  [N=3864] k5:tight_range+above_ma_50+not_market_up: 552 de-cl. (n 1157) hit 60.9% vs base 51.4% edge +9.5% gross +1.17% (net +0.77% info) p 0.0050 | discover +7.4% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:three_black_crows+not_volume_dry+rvol_high: 149 de-cl. (n 160) hit 59.7% vs base 50.6% edge +9.2% gross +1.84% (net +1.43% info) p 0.0500 | discover +14.5% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:three_black_crows+not_above_ma_50+rvol_high: 112 de-cl. (n 122) hit 58.9% vs base 50.7% edge +8.2% gross +1.84% (net +1.43% info) p 0.0900 | discover +17.4% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:three_black_crows+not_ma_50_rising+rvol_high: 77 de-cl. (n 84) hit 58.4% vs base 50.8% edge +7.7% gross +1.87% (net +1.47% info) p 0.1849 | discover +28.8% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:three_black_crows+not_at_support+rvol_high: 95 de-cl. (n 102) hit 57.9% vs base 50.8% edge +7.1% gross +1.55% (net +1.15% info) p 0.2019 | discover +17.5% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:tight_range+ma_50_rising+not_market_up: 793 de-cl. (n 1633) hit 57.8% vs base 50.8% edge +7.0% gross +0.67% (net +0.27% info) p 0.0470 | discover +6.7% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:tight_range+above_ma_50+not_market_up: 609 de-cl. (n 1161) hit 57.6% vs base 50.7% edge +6.9% gross +0.66% (net +0.26% info) p 0.0090 | discover +9.0% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:three_black_crows+not_at_resistance+rvol_high: 104 de-cl. (n 114) hit 57.7% vs base 50.8% edge +6.9% gross +1.56% (net +1.16% info) p 0.2119 | discover +20.1% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:evening_star+market_up+not_ma_50_rising: 109 de-cl. (n 110) hit 57.8% vs base 51.5% edge +6.3% gross +1.55% (net +1.14% info) p 0.4998 | discover -18.4% -> failed | walk-forward 4/12 years positive
  [N=3864] k3:three_black_crows+not_above_ma_50+not_volume_dry: 616 de-cl. (n 733) hit 56.7% vs base 50.7% edge +6.0% gross +0.77% (net +0.37% info) p 0.1389 | discover +8.3% -> HELD | walk-forward 9/12 years positive
  [N=3864] k5:dark_cloud_cover+not_rvol_high+volume_dry: 306 de-cl. (n 311) hit 57.2% vs base 51.3% edge +5.9% gross +0.27% (net -0.13% info) p 0.1599 | discover +9.4% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:inside_day_run+market_up+not_at_support: 1902 de-cl. (n 2112) hit 56.4% vs base 50.8% edge +5.6% gross +1.25% (net +0.85% info) p 0.0020 | discover +3.3% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:inside_day_run+ma_50_rising+not_at_support: 1704 de-cl. (n 1902) hit 56.3% vs base 50.8% edge +5.6% gross +1.19% (net +0.79% info) p 0.0040 | discover +5.5% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:inside_day_run+above_ma_50+not_at_support: 1728 de-cl. (n 1937) hit 56.2% vs base 50.8% edge +5.4% gross +1.23% (net +0.83% info) p 0.0020 | discover +3.8% -> HELD | walk-forward 11/12 years positive
  [N=3864] k5:inside_day_run+ma_50_rising+not_at_support: 1635 de-cl. (n 1892) hit 56.8% vs base 51.5% edge +5.3% gross +1.68% (net +1.27% info) p 0.0030 | discover +3.5% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:tight_range+breadth_positive+not_market_up: 2137 de-cl. (n 4585) hit 56.2% vs base 51.1% edge +5.1% gross +0.73% (net +0.33% info) p 0.2359 | discover +8.4% -> HELD | walk-forward 9/12 years positive
  [N=3864] k3:tight_range+above_ma_50+not_breadth_positive: 869 de-cl. (n 1601) hit 56.3% vs base 51.2% edge +5.1% gross +0.60% (net +0.20% info) p 0.1169 | discover +6.9% -> HELD | walk-forward 9/12 years positive
  [N=3864] k5:inverted_hammer_shape+not_at_support+not_market_up: 2342 de-cl. (n 2959) hit 56.5% vs base 51.5% edge +5.0% gross +0.98% (net +0.57% info) p 0.0900 | discover +6.2% -> HELD | walk-forward 12/12 years positive
  [N=3864] k3:three_black_crows+not_above_ma_50: 675 de-cl. (n 809) hit 55.7% vs base 50.7% edge +5.0% gross +0.52% (net +0.12% info) p 0.2099 | discover +7.1% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:marubozu_red+ma_50_rising+not_at_support: 4631 de-cl. (n 5310) hit 55.6% vs base 50.8% edge +4.8% gross +0.90% (net +0.50% info) p 0.0010 | discover +4.0% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:tight_range+at_resistance+not_breadth_positive: 813 de-cl. (n 1436) hit 56.0% vs base 51.3% edge +4.7% gross +0.27% (net -0.13% info) p 0.1789 | discover +4.2% -> HELD | walk-forward 8/12 years positive
  [N=3864] k3:tight_range+at_resistance+not_market_up: 1021 de-cl. (n 1911) hit 55.2% vs base 50.8% edge +4.5% gross +0.55% (net +0.15% info) p 0.2079 | discover +5.1% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:inside_day_run+above_ma_50+not_at_resistance: 1246 de-cl. (n 1375) hit 55.2% vs base 50.8% edge +4.4% gross +1.14% (net +0.74% info) p 0.0090 | discover +4.3% -> HELD | walk-forward 9/12 years positive
  [N=3864] k5:tight_range+above_ma_50+not_breadth_positive: 777 de-cl. (n 1521) hit 56.6% vs base 52.2% edge +4.4% gross +1.01% (net +0.61% info) p 0.1879 | discover +6.8% -> HELD | walk-forward 9/12 years positive
  [N=3864] k3:breakout+not_at_support+volume_dry: 78 de-cl. (n 102) hit 55.1% vs base 50.8% edge +4.4% gross +2.01% (net +1.60% info) p 0.4488 | discover +15.6% -> HELD | walk-forward 8/12 years positive
  [N=3864] k3:marubozu_red+ma_50_rising+not_at_resistance: 4289 de-cl. (n 4947) hit 55.1% vs base 50.8% edge +4.3% gross +0.72% (net +0.31% info) p 0.0060 | discover +3.6% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:breakout+not_rvol_high+volume_dry: 104 de-cl. (n 139) hit 54.8% vs base 50.6% edge +4.2% gross +1.91% (net +1.50% info) p 0.3898 | discover +14.8% -> HELD | walk-forward 8/12 years positive
