structural_1:validate-2026-09-25T04:52:03+00:00 | BATCH structural_1 (hash 1ff6d6de2472c886) | validate ('2020-01-01', '2023-12-31') | purged before 2024-01-01 | batch N = 3024 (hypotheses ever tested: 4578)
CANDIDATE GENERATION, NOT CONFIRMATION: these slices were already looked at by the registered run; a survivor is at best a paper-trading candidate
hit = GROSS return > 0 (fee out of scope); net at the provisional cost is information only | NET PROVISIONAL; liquid on t; two-sided; date-block bootstrap (10 sessions x 2000)
run here: 295 | testable (>= 30 de-clustered): 295 | suspicious: 0
discover survivors run: 295 | HELD (same sign, gross exp > 0): 260 | PAPER-TRADING CANDIDATES (held, edge > 0): 236
  [N=3024] k3:three_black_crows+resists_down_days+rvol_high: 49 de-cl. (n 50) hit 63.3% vs base 50.6% edge +12.7% gross +1.88% (net +1.47% info) p 0.1119 | discover +21.5% -> HELD | walk-forward 10/12 years positive
  [N=3024] k5:dark_cloud_cover+resists_down_days+volume_dry: 96 de-cl. (n 96) hit 62.5% vs base 51.3% edge +11.2% gross +0.72% (net +0.31% info) p 0.0360 | discover +13.2% -> HELD | walk-forward 12/12 years positive
  [N=3024] k5:three_inside_up+ma_50_rising+stage_3_topping: 56 de-cl. (n 57) hit 60.7% vs base 51.1% edge +9.7% gross +2.17% (net +1.77% info) p 0.3338 | discover +14.3% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:dark_cloud_cover+resists_down_days+volume_dry: 97 de-cl. (n 97) hit 59.8% vs base 50.6% edge +9.2% gross +0.53% (net +0.13% info) p 0.0790 | discover +13.7% -> HELD | walk-forward 12/12 years positive
  [N=3024] k3:evening_star+ma_50_rising+stage_2_advancing: 131 de-cl. (n 132) hit 59.5% vs base 50.6% edge +9.0% gross +1.03% (net +0.62% info) p 0.0580 | discover +17.0% -> HELD | walk-forward 10/12 years positive
  [N=3024] k5:inverted_hammer_shape+stage_3_topping+volume_dry: 272 de-cl. (n 300) hit 59.2% vs base 51.1% edge +8.1% gross +1.13% (net +0.73% info) p 0.0840 | discover +7.8% -> HELD | walk-forward 12/12 years positive
  [N=3024] k5:evening_star+ma_50_rising+stage_2_advancing: 129 de-cl. (n 132) hit 58.9% vs base 51.1% edge +7.9% gross +1.80% (net +1.39% info) p 0.1269 | discover +15.8% -> HELD | walk-forward 9/12 years positive
  [N=3024] k3:tight_range+at_support+stage_2_advancing: 496 de-cl. (n 922) hit 57.9% vs base 50.6% edge +7.3% gross +0.96% (net +0.55% info) p 0.0100 | discover +5.6% -> HELD | walk-forward 11/12 years positive
